#Summary of the data
#Min.	25%	Mean	Median	75%	Max.	Var
#104.000	225.000	400.219	292.000	376.000	16362.000	1119650.272
#Data for density plot
#X	Y(density)
0	0.000700137631751826
565.035482337699	0.000876013865452117
1130.0709646754	8.38406367960688e-06
1695.1064470131	3.78016415884702e-06
2260.1419293508	2.44999618958555e-06
2825.1774116885	7.25406854951744e-07
3390.2128940262	3.94286147974535e-07
3955.24837636389	1.07617269507668e-06
4520.28385870159	7.32118971124231e-07
5085.31934103929	3.00412315385423e-07
5650.35482337699	2.65753405003735e-07
6215.39030571469	2.86009671505399e-07
6780.42578805239	4.76271382580358e-07
7345.46127039009	1.30398025861033e-07
7910.49675272779	3.15062645980065e-07
8475.53223506549	2.88414319322201e-07
9040.56771740319	2.0440269546448e-07
9605.60319974088	6.7734078045186e-07
10170.6386820786	4.69967686009567e-07
10735.6741644163	6.0414657107576e-07
11300.709646754	7.51694822819655e-08
11865.7451290917	7.32437730275716e-12
12430.7806114294	1.94953974237934e-13
12995.8160937671	1.54468944586792e-08
13560.8515761048	3.1792507921622e-07
14125.8870584425	3.33883945880296e-07
14690.9225407802	3.566808289428e-09
15255.9580231179	8.98224755962938e-09
15820.9935054556	2.88283922021364e-06
16386.0289877933	2.75063483564005e-06
16951.064470131	6.33339869364108e-09
