#MitoChr	MitoPos	VarChr	VarPos	SupportedReads	MeanMappingQuality	Mito.gene	Mito.genedetail
MT	12491	18	57409214	4	37.000	ND5	MTND5:mRNA:12338-14149:(+)
MT	13733	1	84732689	4	37.000	ND5	MTND5:mRNA:12338-14149:(+)
MT	14258	4	190283382	5	37.000	ND6	MTND6:mRNA:14150-14674:(-)
MT	14307	2	37264955	4	37.000	ND6	MTND6:mRNA:14150-14674:(-)
MT	15635	4	107157488	4	37.000	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	16258	9	79954746	4	37.000		
MT	1881	3	175892782	4	37.000	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2148	5	142435648	6	37.000	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2535	1	186031615	4	37.000	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2860	8	88779528	5	37.000	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	3293	6	49473486	5	37.000	TRNL1	MTTL1:tRNA:3231-3305:(+)
MT	5276	3	166684781	4	37.000	ND2	MTND2:mRNA:4471-5512:(+)
MT	5445	6	48117465	4	37.000	ND2	MTND2:mRNA:4471-5512:(+)
MT	7656	10	70097532	5	23.000	COX2	MTCO2:mRNA:7587-8270:(+)
MT	8472	7	67572745	4	37.000	ATP8	MTATP8:mRNA:8367-8573:(+)
MT	8624	2	138884146	4	37.000	ATP6	MTATP6:mRNA:8528-9208:(+)
MT	9095	12	66638827	4	23.000	ATP6	MTATP6:mRNA:8528-9208:(+)
