debuggroup conf 0.08s welcome to circos 0.56-pre4
debuggroup conf 0.08s loading configuration from file etc/circos.conf
debuggroup conf 0.08s looking for conf file etc/circos.conf
debuggroup conf 0.08s found conf file etc/circos.conf
debuggroup summary 0.35s debug will appear for these features: summary,summary,timer,textplace
debuggroup summary 0.36s parsing karyotype and organizing ideograms
debuggroup summary 0.63s applying global and local scaling
debuggroup summary 0.71s allocating image, colors and brushes
debuggroup summary 1.67s drawing highlights and ideograms
debuggroup summary 3.50s drawing link track ratbundle
debuggroup summary 3.50s drawing link track mousebundle
debuggroup summary 3.50s reading data for text track exampledata/genes.txt
debuggroup summary 3.97s placing text track exampledata/genes.txt
debuggroup summary 3.97s ... see progress with -debug_group text
debuggroup summary 3.97s ... see placement summary with -debug_group textplace
debuggroup textplace 50.04s placed hs4 41057560 41395767 DKFZP686A01247
debuggroup textplace 50.05s placed hs8 71186820 71478574 NCOA2,Q15596
debuggroup textplace 50.05s placed hs9 111582397 111974612 PALM2-AKAP2
debuggroup textplace 50.05s placed hs9 111582409 111974610 PALM2-AKAP2
debuggroup textplace 50.06s placed hs3 170349579 170864168 MDS1,Q13465
debuggroup textplace 50.06s placed hs1 76312991 76869220 ST6GALNAC3
debuggroup textplace 50.06s placed hs18 6019386 6404901 L3000000TL4
debuggroup textplace 50.07s placed hs9 94127561 94417256 RP11-19J3.3
debuggroup textplace 50.07s placed hs12 128122225 128954166 TMEM132D
debuggroup textplace 50.07s placed hs15 82113841 82499597 ADAMTSL3
debuggroup textplace 50.08s placed hs12 124377114 124709542 TMEM132B
debuggroup textplace 50.08s placed hs15 98329165 98699706 ADAMTS17
debuggroup textplace 50.08s placed hs5 128824001 129102275 ADAMTS19
debuggroup textplace 50.08s placed hs5 33563045 33927881 ADAMTS12
debuggroup textplace 50.08s not_placed hs2 143603432 144242390 ARHGAP15
debuggroup textplace 50.08s placed hs3 54131732 55083622 CACNA2D3
debuggroup textplace 50.09s placed hs4 148872902 149213376 ARHGAP10
debuggroup textplace 50.09s placed hs4 86615307 87142846 ARHGAP24
debuggroup textplace 50.09s placed hs5 142130475 142588764 ARHGAP26
debuggroup textplace 50.09s placed hs7 81417353 81910967 CACNA2D1
debuggroup textplace 50.09s placed hs10 105343775 105605154 SH3PXD2A
debuggroup textplace 50.10s placed hs1 172395256 173193949 RABGAP1L
debuggroup textplace 50.10s placed hs22 45537212 45948386 TBC1D22A
debuggroup textplace 50.10s not_placed hs3 176059804 177006122 NAALADL2
debuggroup textplace 50.10s placed hs13 106618879 107317084 LOC728215
debuggroup textplace 50.10s placed hs2 158736724 159021460 LOC130940
debuggroup textplace 50.10s placed hs4 178886900 179148663 LOC285501
debuggroup textplace 50.11s placed hs8 85258007 85996633 LOC138046
debuggroup textplace 50.11s placed hs8 85258140 85996633 LOC138046
debuggroup textplace 50.11s placed hs8 85259654 85996633 LOC138046
debuggroup textplace 50.11s placed hs12 99712715 100046539 TMEM16D
debuggroup textplace 50.11s placed hs18 64533470 64873406 CCDC102B
debuggroup textplace 50.12s placed hs18 64616296 64873406 CCDC102B
debuggroup textplace 50.12s placed hs3 43382821 43638564 TMEM16K
debuggroup textplace 50.12s placed hs8 124933407 125201482 C8ORFK23
debuggroup textplace 50.12s placed hs8 139211449 139578247 C8ORFK32
debuggroup textplace 50.12s placed hs11 26310253 26641412 TMEM16C
debuggroup textplace 50.13s placed hs12 5542080 5925659 TMEM16B
debuggroup textplace 50.13s placed hs4 107186688 107456834 MGC16169
debuggroup textplace 50.13s placed hs4 73365550 73653380 ADAMTS3
debuggroup textplace 50.13s placed hs4 77575276 77923427 SHROOM3
debuggroup textplace 50.13s placed hs4 81475897 82103920 MGC35043
debuggroup textplace 50.14s placed hs4 91375204 91922173 MGC48628
debuggroup textplace 50.14s placed hs4 98699056 99283414 MGC46496
debuggroup textplace 50.14s placed hs5 133444644 133775488 MGC13017
debuggroup textplace 50.14s placed hs5 64480319 64813460 ADAMTS6
debuggroup textplace 50.14s placed hs9 127239494 127509334 MAPKAP1
debuggroup textplace 50.15s placed hs11 86426712 86712216 TMEM135
debuggroup textplace 50.15s placed hs12 42516228 43069807 TMEM117
debuggroup textplace 50.15s placed hs13 35243477 35603443 DCAMKL1
debuggroup textplace 50.15s placed hs2 134930029 135193040 TMEM163
debuggroup textplace 50.15s placed hs3 134239942 134597745 TMEM108
debuggroup textplace 50.16s placed hs5 111526213 111782909 EPB41L4A
debuggroup textplace 50.16s placed hs9 125181753 125732238 DENND1A
debuggroup textplace 50.16s placed hs9 125203690 125732238 DENND1A
debuggroup textplace 50.16s placed hs11 116803698 117173186 DSCAML1
debuggroup textplace 50.16s placed hs16 74868676 75150636 CNTNAP4
debuggroup textplace 50.17s placed hs19 13178256 13478274 CACNA1A
debuggroup textplace 50.17s placed hs2 124499333 125389331 CNTNAP5
debuggroup textplace 50.17s placed hs3 53504115 53821000 CACNA1D
debuggroup textplace 50.17s placed hs6 62447823 63054091 KHDRBS2
debuggroup textplace 50.17s placed hs7 145444385 147749019 CNTNAP2
debuggroup textplace 50.17s placed hs7 70235724 70816519 WBSCR17
debuggroup textplace 50.18s placed hs11 102485369 102855801 DYNC2H1
debuggroup textplace 50.18s placed hs12 2032724 2677376 CACNA1C
debuggroup textplace 50.18s placed hs14 36218828 36711616 SLC25A21
debuggroup textplace 50.18s placed hs16 12053555 12575647 LOC92017
debuggroup textplace 50.18s placed hs17 68153683 68600427 SLC39A11
debuggroup textplace 50.19s placed hs18 33077827 33399941 BRUNOL4
debuggroup textplace 50.19s placed hs1 179719338 180037336 CACNA1E
debuggroup textplace 50.19s placed hs2 63202040 63518590 LOC51057
