#MitoChr	MitoPos	VarChr	VarPos	SupportedReads	MeanMappingQuality
MT	10207	12	38898004	2	37
MT	10910	17	33331463	5	37
MT	11054	2	179920442	2	37
MT	11571	3	63982028	3	37
MT	11724	13	33733011	2	37
MT	11983	16	58589270	3	37
MT	12482	22	32793960	2	37
MT	12500	4	159304252	2	37
MT	1272	6	76024540	2	37
MT	12769	10	64683902	3	37
MT	12883	11	107955973	2	37
MT	1293	6	31639934	2	37
MT	13773	14	65996646	2	37
MT	13821	7	43733950	3	37
MT	13834	X	35162643	2	37
MT	13990	18	21739743	2	37
MT	14289	5	160431889	2	37
MT	14297	19	52447684	2	37
MT	14336	4	95194802	3	37
MT	14692	21	45985348	2	37
MT	1505	1	207244815	2	37
MT	1547	11	20031413	2	23
MT	15471	7	130934419	3	37
MT	15589	14	69924877	2	37
MT	15730	10	63441104	3	37
MT	16205	Y	59373560	2	37
MT	16291	1	192540301	3	37
MT	16421	19	9721763	2	37
MT	1726	7	102854253	3	37
MT	1748	21	32114463	2	37
MT	1966	7	130136967	2	37
MT	204	12	83142911	2	37
MT	211	1	9811275	2	37
MT	2148	17	16723115	2	37
MT	2477	9	125772623	2	37
MT	2637	14	64989861	2	37
MT	3828	12	128818848	2	37
MT	4016	15	90995399	2	37
MT	4304	X	150912490	2	37
MT	456	8	37725273	2	37
MT	5123	17	63242539	2	23
MT	5526	14	44117933	2	23
MT	5539	1	149904246	2	23
MT	580	3	116812103	3	37
MT	5975	13	33446100	2	23
MT	6015	10	105762965	2	23
MT	6488	4	142910983	2	37
MT	7163	4	161620002	3	37
MT	7615	1	89298874	2	37
MT	7723	15	77991875	2	23
MT	7751	14	37506223	2	23
MT	7762	2	185433929	2	23
MT	8401	7	150937185	2	37
MT	8707	9	21861951	2	23
MT	8961	2	87185338	2	23
MT	8989	1	202866001	3	37
MT	9305	4	88813839	3	37
MT	9353	X	112257392	2	23
MT	9485	8	101270893	2	37
MT	961	13	76562998	2	37
MT	9663	2	18289149	2	37
MT	9854	7	107689657	3	37
