#MitoChr	MitoPos	VarChr	VarPos	SupportedReads	MeanMappingQuality	Mito.gene	Mito.genedetail
MT	10017	MT	64132194	2	37	TRNG	MTTG:tRNA:9992-10059:(+)
MT	10041	MT	75263507	2	37	TRNG	MTTG:tRNA:9992-10059:(+)
MT	10053	MT	41191906	2	37	TRNG	MTTG:tRNA:9992-10059:(+)
MT	10065	MT	72611438	2	37	ND3	MTND3:mRNA:10060-10405:(+)
MT	10073	MT	94630311	2	37	ND3	MTND3:mRNA:10060-10405:(+)
MT	10196	MT	97488352	2	37	ND3	MTND3:mRNA:10060-10405:(+)
MT	10201	MT	74740932	3	37	ND3	MTND3:mRNA:10060-10405:(+)
MT	10201	MT	117876367	2	37	ND3	MTND3:mRNA:10060-10405:(+)
MT	10292	MT	92591656	2	37	ND3	MTND3:mRNA:10060-10405:(+)
MT	10383	MT	11175386	2	37	ND3	MTND3:mRNA:10060-10405:(+)
MT	10505	MT	132956216	3	37	ND4L	MTND4L:mRNA:10471-10767:(+)
MT	10539	MT	60468320	2	37	ND4L	MTND4L:mRNA:10471-10767:(+)
MT	10544	MT	165578525	2	37	ND4L	MTND4L:mRNA:10471-10767:(+)
MT	10584	MT	107367469	3	37	ND4L	MTND4L:mRNA:10471-10767:(+)
MT	10677	MT	28339538	2	37	ND4L	MTND4L:mRNA:10471-10767:(+)
MT	10692	MT	13514768	2	37	ND4L	MTND4L:mRNA:10471-10767:(+)
MT	10734	MT	34540093	2	37	ND4L	MTND4L:mRNA:10471-10767:(+)
MT	10776	MT	149922154	3	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	10783	MT	78709408	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	10797	MT	194168722	3	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	10815	MT	143602141	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	10874	MT	38799417	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	10919	MT	23701465	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11032	MT	102731651	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11042	MT	12951775	3	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11042	MT	175602625	3	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11098	MT	101984933	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11120	MT	16756530	2	30	ND4	MTND4:mRNA:10761-12138:(+)
MT	11124	MT	98166532	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11131	MT	35756708	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11151	MT	568796	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11169	MT	19505632	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11174	MT	125181356	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11220	MT	146041021	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11258	MT	38933422	3	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11268	MT	19451689	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11308	MT	16327360	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11347	MT	54070305	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11359	MT	12597033	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11389	MT	178379455	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11393	MT	100135994	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11396	MT	127210886	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11421	MT	18324096	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11474	MT	43973943	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11571	MT	40524022	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11591	MT	53211247	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11644	MT	84834362	2	23	ND4	MTND4:mRNA:10761-12138:(+)
MT	11695	MT	44328554	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11763	MT	142249817	3	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11921	MT	14804894	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11932	MT	120783345	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11978	MT	193107239	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11986	MT	152527645	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	12036	MT	114951057	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	121	MT	14788698	2	37		
MT	12117	MT	118380974	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	12194	MT	89534535	2	37	TRNH	MTTH:tRNA:12139-12207:(+)
MT	12196	MT	81719331	2	37	TRNH	MTTH:tRNA:12139-12207:(+)
MT	12213	MT	104669566	3	37	TRNS2	MTTS2:tRNA:12208-12266:(+)
