#MitoChr	MitoPos	VarChr	VarPos	SupportedReads	MeanMappingQuality	Mito.gene	Mito.genedetail
MT	10207	MT	38898004	2	37	ND3	MTND3:mRNA:10060-10405:(+)
MT	10910	MT	33331463	5	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11054	MT	179920442	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11571	MT	63982028	3	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11724	MT	33733011	2	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	11983	MT	58589270	3	37	ND4	MTND4:mRNA:10761-12138:(+)
MT	12482	MT	32793960	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	12500	MT	159304252	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	1272	MT	76024540	2	37	RNR1	MTRNR1:rRNA:650-1603:(+)
MT	12769	MT	64683902	3	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	12883	MT	107955973	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	1293	MT	31639934	2	37	RNR1	MTRNR1:rRNA:650-1603:(+)
MT	13773	MT	65996646	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	13821	MT	43733950	3	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	13834	MT	35162643	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	13990	MT	21739743	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	14289	MT	160431889	2	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14297	MT	52447684	2	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14336	MT	95194802	3	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14692	MT	45985348	2	37	TRNE	MTTE:tRNA:14675-14743:(-)
MT	1505	MT	207244815	2	37	RNR1	MTRNR1:rRNA:650-1603:(+)
MT	1547	MT	20031413	2	23	RNR1	MTRNR1:rRNA:650-1603:(+)
MT	15471	MT	130934419	3	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	15589	MT	69924877	2	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	15730	MT	63441104	3	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	16205	MT	59373560	2	37		
MT	16291	MT	192540301	3	37		
MT	16421	MT	9721763	2	37		
MT	1726	MT	102854253	3	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	1748	MT	32114463	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	1966	MT	130136967	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	204	MT	83142911	2	37		
MT	211	MT	9811275	2	37		
MT	2148	MT	16723115	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2477	MT	125772623	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2637	MT	64989861	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	3828	MT	128818848	2	37	ND1	MTND1:mRNA:3308-4264:(+)
MT	4016	MT	90995399	2	37	ND1	MTND1:mRNA:3308-4264:(+)
MT	4304	MT	150912490	2	37	TRNI	MTTI:tRNA:4264-4332:(+)
MT	456	MT	37725273	2	37		
MT	5123	MT	63242539	2	23	ND2	MTND2:mRNA:4471-5512:(+)
MT	5526	MT	44117933	2	23	TRNW	MTTW:tRNA:5513-5580:(+)
MT	5539	MT	149904246	2	23	TRNW	MTTW:tRNA:5513-5580:(+)
MT	580	MT	116812103	3	37	TRNF	MTTF:tRNA:579-649:(+)
MT	5975	MT	33446100	2	23	COX1	MTCO1:mRNA:5905-7446:(+)
MT	6015	MT	105762965	2	23	COX1	MTCO1:mRNA:5905-7446:(+)
MT	6488	MT	142910983	2	37	COX1	MTCO1:mRNA:5905-7446:(+)
MT	7163	MT	161620002	3	37	COX1	MTCO1:mRNA:5905-7446:(+)
MT	7615	MT	89298874	2	37	COX2	MTCO2:mRNA:7587-8270:(+)
MT	7723	MT	77991875	2	23	COX2	MTCO2:mRNA:7587-8270:(+)
MT	7751	MT	37506223	2	23	COX2	MTCO2:mRNA:7587-8270:(+)
MT	7762	MT	185433929	2	23	COX2	MTCO2:mRNA:7587-8270:(+)
MT	8401	MT	150937185	2	37	ATP8	MTATP8:mRNA:8367-8573:(+)
MT	8707	MT	21861951	2	23	ATP6	MTATP6:mRNA:8528-9208:(+)
MT	8961	MT	87185338	2	23	ATP6	MTATP6:mRNA:8528-9208:(+)
MT	8989	MT	202866001	3	37	ATP6	MTATP6:mRNA:8528-9208:(+)
MT	9305	MT	88813839	3	37	COX3	MTCO3:mRNA:9208-9988:(+)
MT	9353	MT	112257392	2	23	COX3	MTCO3:mRNA:9208-9988:(+)
MT	9485	MT	101270893	2	37	COX3	MTCO3:mRNA:9208-9988:(+)
MT	961	MT	76562998	2	37	RNR1	MTRNR1:rRNA:650-1603:(+)
MT	9663	MT	18289149	2	37	COX3	MTCO3:mRNA:9208-9988:(+)
MT	9854	MT	107689657	3	37	COX3	MTCO3:mRNA:9208-9988:(+)
